Type,Try,Target,Assistant,Error,Time,v1,v3
6,1,60,0,0,616,2.5570073,1.6472107
6,1,14,0,1,1802,4.654328,2.0015526
6,1,61,1,0,554,0.7517793,1.8052281
6,1,56,0,1,1790,4.7884035,1.115698
6,1,35,1,0,896,4.084508,3.7780502
6,1,100,0,0,772,2.2361844,0.90021986
6,1,30,0,0,1180,5.3199162,0.2633622
6,1,105,1,0,1239,4.1180267,1.4748282
6,1,44,1,1,1349,2.6527755,2.336741
6,1,111,0,0,935,0.04309563,1.1013328
6,1,29,0,0,1153,4.390966,1.4796166
6,1,13,1,0,1302,4.807557,1.3215994
6,1,99,1,0,857,1.8722657,0.4357447
6,1,108,0,0,721,1.8100165,1.3263878
6,1,9,0,1,1885,4.606444,1.3790601
6,2,68,0,7,5115,0,1.8818425
6,2,85,0,0,725,0.34955344,0.79966336
6,2,10,0,0,1236,5.645528,1.9057846
6,2,77,1,0,901,1.2258313,0.47405192
6,2,31,0,0,1158,5.161899,0.2873042
6,2,86,1,0,619,0,0.22026655
6,2,55,0,0,689,1.3263878,1.1013328
6,2,61,0,0,539,1.9680338,1.0534488
6,2,57,0,0,839,3.3614593,2.1547816
6,2,92,0,0,681,2.5187001,0.004788403
6,2,33,0,0,1063,5.5737014,1.7429788
6,2,53,1,0,614,2.111686,1.1492168
6,2,107,0,1,1727,3.4955344,0.7230489
6,2,6,1,0,1232,5.33907,1.2785037
6,2,1,1,1,1565,5.645528,1.6519991
6,2,100,1,0,693,1.3599066,0.8331822
6,2,47,0,0,1251,4.4963107,1.5466543
6,2,79,1,0,1013,1.9919758,1.3694834
6,2,37,0,0,705,4.673482,2.3080103
6,2,4,0,0,829,5.070919,2.1978772
6,2,46,1,0,755,3.074155,1.685518
6,2,56,0,0,1154,5.947197,0.91937345
6,2,91,1,0,656,1.5275006,0.40222588
6,2,17,0,0,1059,5.291186,1.8004397
6,2,27,1,0,1164,5.6790466,1.5131354
6,2,51,1,0,795,3.6008794,2.954445
6,2,11,0,0,1033,5.9519854,1.7238252
6,2,71,1,0,988,0.1340753,0.7757214
6,2,90,0,0,721,2.255338,0.14844051
6,2,8,0,0,1279,6.6846113,1.508347
6,3,68,0,5,3765,2.5953147,1.0342951
6,3,57,0,0,1272,5.9424086,1.1827357
6,3,54,1,1,1235,1.3599066,1.6950948
6,3,73,0,0,751,2.2888567,2.0207062
6,3,48,0,1,1146,5.568913,1.4796166
6,3,43,1,1,1126,3.5482068,3.2225955
6,3,54,0,2,1806,1.7669208,1.3503298
6,3,76,0,0,595,1.1875241,0.8619126
6,3,93,0,0,551,1.5466543,0.23942018
6,3,20,0,1,1493,5.0517654,1.4077905
6,3,95,1,0,701,1.0295067,0.320823
6,3,28,0,0,1284,5.4779334,1.8722657
6,3,75,1,0,641,1.3215994,1.388637
6,3,105,0,0,1136,5.1475334,0.7086837
6,3,33,1,0,1121,5.6790466,1.7621324
6,3,104,1,1,1710,4.5681367,0.6464345
6,3,36,1,1,1596,3.4763808,0.6464345
6,3,19,1,0,1658,5.415684,2.054225
6,3,103,1,0,1896,3.5003228,0.78529817
6,3,98,1,1,1644,4.6830587,0.8475474
6,3,62,1,0,648,0.31603462,1.3742718
6,3,38,0,0,675,3.265691,2.5905263
6,3,52,0,0,467,2.7150247,2.3080103
6,3,74,0,0,556,2.5761611,1.9153614
6,3,95,0,0,717,0.2633622,0.866701
6,3,24,0,0,1238,5.3438582,1.9201498
6,3,82,1,0,629,1.5705963,1.0247183
6,3,21,0,1,1537,4.4963107,1.4987702
6,3,97,1,2,2506,4.1611223,0.90500826
6,3,12,1,1,1772,3.1268275,2.2218192
6,4,68,0,3,2677,1.8770541,1.7190368
6,4,81,0,0,821,1.5705963,0.79966336
6,4,7,0,0,1364,5.1762643,1.4030021
6,4,38,1,0,823,3.3183637,2.4516625
6,4,58,0,0,651,3.0597897,2.3558946
6,4,83,0,0,682,2.3654714,1.1540052
6,4,24,0,24,16459,1.1923125,0.60812724
6,4,109,1,1,958,1.2689269,1.4891934
6,4,84,0,0,892,1.2162545,0.1388637
6,4,72,0,1,1977,5.7125654,0.545878
6,4,22,1,1,1318,4.486734,2.7341783
6,4,9,0,1,1730,5.3678,1.7812861
6,4,50,1,0,726,3.241749,1.8962077
6,4,94,0,1,1135,0.7086837,0.2825158
6,4,34,0,1,1367,4.5441947,3.016694
6,4,109,0,0,991,1.1061212,0
6,4,40,0,1,2047,4.951209,1.8626889
6,4,26,1,1,2055,4.5058875,0.9816227
6,4,39,1,0,785,0.94331545,1.1061212
6,4,18,0,0,1440,4.7309427,0.7661445
6,4,102,1,0,835,0.47405192,0.16759412
6,4,80,0,1,2102,5.1906295,0.61291564
6,4,84,1,0,648,0.16280572,0.6943185
6,4,107,0,0,764,1.340753,1.5514427
6,4,28,0,0,1485,4.7165775,1.1252748
